blockchain,denom,name,symbol
osmosis,factory/osmo1n6asrjy9754q8y9jsxqf557zmsv3s3xa5m9eg5/uspice,Spice,SPICE
osmosis,factory/osmo1q77cw0mmlluxu0wr29fcdd0tdnh78gzhkvhe4n6ulal9qvrtu43qtd0nh8/bag,Baguette,BAG
osmosis,factory/osmo1q77cw0mmlluxu0wr29fcdd0tdnh78gzhkvhe4n6ulal9qvrtu43qtd0nh8/crazyhorse,CrazyHorse,CRAZYHORSE
osmosis,factory/osmo1q77cw0mmlluxu0wr29fcdd0tdnh78gzhkvhe4n6ulal9qvrtu43qtd0nh8/crmh,Crypto Matcha,CRMH
osmosis,factory/osmo1q77cw0mmlluxu0wr29fcdd0tdnh78gzhkvhe4n6ulal9qvrtu43qtd0nh8/cwad,Catwad,CWAD
osmosis,factory/osmo1q77cw0mmlluxu0wr29fcdd0tdnh78gzhkvhe4n6ulal9qvrtu43qtd0nh8/pnt,Pepenaut,PNT
osmosis,factory/osmo1q77cw0mmlluxu0wr29fcdd0tdnh78gzhkvhe4n6ulal9qvrtu43qtd0nh8/shitmos,Shitmos,SHITMOS
osmosis,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,,
osmosis,ibc/41999DF04D9441DAC0DF5D8291DF4333FBCBA810FFD63FDCE34FDF41EF37B6F7,Cerberus,CRBRUS
osmosis,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,,
osmosis,ibc/FE2CD1E6828EC0FAB8AF39BAC45BC25B965BA67CCBC50C13A14BD610B0D1E2C4,,
osmosis,uosmo,Osmosis,OSMO
stargaze,factory/stars16da2uus9zrsy83h23ur42v3lglg5rmyrpqnju4/mGAZE,,
stargaze,factory/stars1k7qsxdxh8calmt4txk75e6hdntefslegwddqnlwjjqgjkmcfqy0qa97sn8/pleb,Pleb,PLEB
stargaze,ibc/4A1C18CA7F50544760CF306189B810CE4C1CB156C7FC870143D401FE7280E591,,
stargaze,ibc/8577E98BDDD2758FD5647A53563DAAC89921326F964EBF899B945ED05A66CA5F,,
stargaze,ibc/9DF365E2C0EF4EA02FA771F638BB9C0C830EFCD354629BDC017F79B348B4E989,,
stargaze,ibc/ED07A3391A112B175915CD8FAF43A2DA8E4790EDE12566649D0C2F97716B8518,,
stargaze,ustars,Stars,STARS